AC_TYPEID,AC_GROUP,SSD_NAME,MANUFACTURER,LONG_NAME,SHORT_NAME,BEGIN_DATE,END_DATE
441,4,ATR-42,AEROSPATIALE/AERITALIA,AEROSPATIALE/AERITALIA ATR-42,ATR-42,1/1/1990 12:00:00 AM,
442,4,ATR-72,AEROSPATIALE/AERITALIA,AEROSPATIALE/AERITALIA ATR-72,ATR-72,1/1/1990 12:00:00 AM,
443,4,AIR TRACTOR AT-802,AIR TRACTOR,AIR TRACTOR AT-802,AT-802,1/1/2013 12:00:00 AM,
444,4,ANTONOV 24/26/32,ANTONOV DESIGN BUREAU,ANTONOV 24/26/32,AN-24/6,1/1/1999 12:00:00 AM,
445,4,CONVAIR CV-660,CONVAIR,CONVAIR CV-660,CV-660,1/1/1990 12:00:00 AM,
448,4,DORNIER 228,DORNIER,DORNIER 228,DO-228,1/1/1990 12:00:00 AM,
449,4,DORNIER 328,FAIRCHILD DORNIER,DORNIER 328,DO-328,6/1/1993 12:00:00 AM,
450,4,F-27,FOKKER/FAIRCHILD,FOKKER FRIENDSHIP F-27/FAIRCHILD F-27/A/B/F/J,F-27,1/1/1990 12:00:00 AM,
451,4,PIPISTREL VIRUS SW,PIPISTREL,PIPISTREL D O O VIRUS SW 121C,VIRUS,7/1/2022 12:00:00 AM,
452,4,FOKKER 50,FOKKER,FOKKER 50,FOKKER50,1/1/1990 12:00:00 AM,
454,4,FH-227,FAIRCHILD-HILLER,FAIRCHILD-HILLER FH-227,FH-227,1/1/1990 12:00:00 AM,
455,4,FAIRCHILD METRO 23,FAIRCHILD ,FAIRCHILD METRO 23,METRO 23,10/1/2002 12:00:00 AM,
456,4,SAAB-FAIRCHD 340/B,SAAB-FAIRCHILD,SAAB-FAIRCHILD 340/B,SF-340/B,1/1/1990 12:00:00 AM,
457,4,BEECH KING AIR ,BEECHCRAFT,BEECH KING AIR C-90,KINGAIR,1/1/2001 12:00:00 AM,
458,4,BEECH B-350,BEECHCRAFT,BEECHCRAFT SUPER KING AIR,BE-KING,10/1/2002 12:00:00 AM,
459,4,SAAB-FRCHILD 340/A,SAAB-FAIRCHILD,SAAB-FAIRCHILD 340/A,SF-340/A,9/1/2005 12:00:00 AM,
460,1,GRUMMAN G-21G,GRUMMAN,GRUMMAN G-21G (TURBO-GOOSE),GOOSE,1/1/1993 12:00:00 AM,
461,4,EMB-120 BRASILIA,EMBRAER,EMBRAER EMB-120 BRASILIA,EMB-120,1/1/1990 12:00:00 AM,
462,4,SWEARINGEN MERLIN,SWEARINGEN,SWEARINGEN METRO MERLIN,MERLIN,1/1/1990 12:00:00 AM,
463,4,MITSUBISHI MU-2/B,MITSUBISHI,MITSUBISHI MU-2/B,MU-2/B,1/1/1990 12:00:00 AM,
464,4,EMBRAER BANDEIRNTE,EMBRAER,EMBRAER EMB-110 BANDEIRANTE,EMB-110,1/1/1990 12:00:00 AM,
465,4,NIHON YS-11,NIHON (NAMCO),NIHON YS-11,YS-11,1/1/1990 12:00:00 AM,
466,4,SWEARINGEN METRO 2,FAIRCHILD SWEARINGEN,SWEARINGEN METRO II,METRO2,1/1/1990 12:00:00 AM,
467,4,SWEARINGEN METRO 3,FAIRCHILD SWEARINGEN,SWEARINGEN METRO III,METRO3,1/1/1990 12:00:00 AM,
468,4,H-P JETSTREAM,HANDLEY PAGE,HANDLEY PAGE JETSTREAM,JETSTRM,1/1/1990 12:00:00 AM,
469,4,BAE JETSTREAM 31,BRITISH AEROSPACE,BRITISH AEROSPACE JETSTREAM 31,JETSTM31,1/1/1990 12:00:00 AM,
470,4,GULFSTREAM I,GULFSTREAM AEROSPACE (GRUMMAN),GULFSTREAM I,G-159,1/1/1990 12:00:00 AM,
471,4,JETSTREAM 41,BRITISH AEROSPACE,BRITISH AEROSPACE JETSTREAM 41,JETST41,3/1/1993 12:00:00 AM,
473,4,GULFSTREAM I COMM,GULFSTREAM AEROSPACE (GRUMMAN),GULFSTREAM I-COMMANDER,G-159COM,1/1/1990 12:00:00 AM,
474,4,HAWKER SIDELEY 748,HAWKER SIDDELEY,HAWKER SIDDELEY 748,HAWKER S,10/1/2002 12:00:00 AM,
475,4,NORD 262,NORD AVIATION,NORD 262,N-262,1/1/1990 12:00:00 AM,
476,4,PIPER PA-30/31T,PIPER,PIPER PA-30/31T CHEYENNE II XL,PA-31T,10/1/2002 12:00:00 AM,
477,4,MOHAWK 298,NORD AVIATION,MOHAWK 298,MO-298,1/1/1990 12:00:00 AM,
478,4,PIPER T-1040,PIPER,PIPER T-1040,PA-T1040,1/1/1990 12:00:00 AM,
479,4,PILATUS PC-12,PILATUS,PILATUS PC-12,PC-12,1/1/1999 12:00:00 AM,
